Altium Designer Pick and Place Locations
C:\Users\DucAnh\Desktop\AltiumDesign\Project\Esp32withUSBC\Project Outputs for Esp32 with USBC\Pick Place\Pick Place for Esp32 with USBC.csv

========================================================================================================================
File Design Information:

Date:       24/03/26
Time:       11:25
Revision:   905054fc0f6a394a545522e5e54173e3f429ca70
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C6","100nF, 50V","TopLayer","CAPC1005X55N","894.000","795.000","180","CAP CER 0.1UF 50V X7R 0402"
"U3","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039","500.000","270","SMD Module, ESP32-S3FN8, 8 mb Sp"
"U2","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U1","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R26","0R","TopLayer","RESC1005X37N","1977.992","448.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R25","0R","TopLayer","RESC1005X37N","1977.984","517.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R24","0R","TopLayer","RESC1005X37N","1943.992","448.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X37N","1943.992","517.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","27R","TopLayer","RESC1005X37N","1950.000","772.000","0","RES 27 OHM 1% 1/16W 0402"
"R21","0R","TopLayer","RESC1005X37N","2130.000","155.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R20","27R","TopLayer","RESC1005X37N","1950.000","827.000","0","RES 27 OHM 1% 1/16W 0402"
"R19","0R","TopLayer","RESC1005X37N","2035.000","155.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","10K","TopLayer","RESC1005X37N","1005.000","810.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R17","10K","TopLayer","RESC1005X37N","1646.000","296.929","90","RES SMD 10K OHM 1% 1/16W 0402"
"R16","10K","TopLayer","RESC1005X37N","1005.000","630.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R15","5K1","TopLayer","RESC1005X37N","410.000","265.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N","410.000","160.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","880.008","567.000","0","RES SMD 10K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","420.000","830.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","5K1","TopLayer","RESC1005X37N","420.000","740.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R10","4K7","TopLayer","RESC1005X37N","880.008","627.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R9","10K","TopLayer","RESC1005X37N","880.008","507.000","0","RES SMD 10K OHM 1% 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","599.000","589.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","520.000","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","27R","TopLayer","RESC1005X37N","520.000","735.000","0","RES 27 OHM 1% 1/16W 0402"
"R5","0R","TopLayer","RESC1005X37N","893.000","841.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R4","1K","TopLayer","RESC1005X37N","1800.000","800.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1K","TopLayer","RESC1005X37N","1800.000","200.000","270","RES 1K OHM 1% 1/16W 0402"
"R2","0R","TopLayer","RESC1005X37N","739.992","490.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","706.000","490.000","0","RES 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1125.000","790.000","0","TRANS NPN 25V 1.5A SOT23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1125.000","645.000","0","TRANS NPN 25V 1.5A SOT23-3"
"J6","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1382.000","501.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"D8","AQ3045-01ETG","TopLayer","SOD882","336.000","171.094","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","336.000","243.906","270","TVS DIODE 5.3VWM 12VC SOD882"
